:START_ID(Character-ID),:END_ID(Character-ID),:TYPE
R549,R568,队友
R549,R563,队友
R549,R560,队友
R549,R556,队友
R549,R562,队友
R549,R550,所属救援队
R549,R552,现任机构
R549,R551,现任机构
R550,R559,支援地点
R550,character_dR60,出发日期
R556,R585,履历
R556,character_sR107,性别
R556,R567,队友
R556,R564,队友
R556,R561,队友
R556,R549,队友
R556,R568,队友
R556,R560,队友
R556,R562,队友
R556,R565,队友
R556,R566,队友
R556,R563,队友
R556,R550,所属救援队
R556,R557,现任机构
R560,R582,履历
R560,character_sR108,性别
R560,R561,同事
R560,R568,队友
R560,R562,队友
R560,R563,队友
R560,R567,队友
R560,R564,队友
R560,R565,队友
R560,R549,队友
R560,R566,队友
R560,R561,队友
R560,R556,队友
R560,R550,所属救援队
R560,R570,现任机构
R561,R582,履历
R561,character_sR109,性别
R561,R560,同事
R561,R567,队友
R561,R562,队友
R561,R560,队友
R561,R566,队友
R561,R549,队友
R561,R565,队友
R561,R564,队友
R561,R568,队友
R561,R563,队友
R561,R556,队友
R561,R550,所属救援队
R561,R570,现任机构
R562,R581,履历
R562,character_sR110,性别
R562,R556,队友
R562,R561,队友
R562,R564,队友
R562,R567,队友
R562,R563,队友
R562,R566,队友
R562,R549,队友
R562,R565,队友
R562,R560,队友
R562,R568,队友
R562,R550,所属救援队
R562,R572,现任机构
R563,R580,履历
R563,character_sR111,性别
R563,R567,队友
R563,R560,队友
R563,R566,队友
R563,R561,队友
R563,R564,队友
R563,R549,队友
R563,R565,队友
R563,R568,队友
R563,R556,队友
R563,R562,队友
R563,R550,所属救援队
R563,R574,现任机构
R564,R576,履历
R564,character_sR112,性别
R564,R568,同事
R564,R567,同事
R564,R565,同事
R564,R566,同事
R564,R564,队友
R564,R561,队友
R564,R556,队友
R564,R567,队友
R564,R563,队友
R564,R566,队友
R564,R565,队友
R564,R549,队友
R564,R562,队友
R564,R560,队友
R564,R568,队友
R564,R550,所属救援队
R564,R575,现任机构
R565,R577,履历
R565,character_sR113,性别
R565,R567,同事
R565,R564,同事
R565,R566,同事
R565,R568,同事
R565,R568,队友
R565,R561,队友
R565,R562,队友
R565,R563,队友
R565,R564,队友
R565,R565,队友
R565,R549,队友
R565,R556,队友
R565,R560,队友
R565,R566,队友
R565,R567,队友
R565,R550,所属救援队
R565,R575,现任机构
R566,R578,履历
R566,character_sR114,性别
R566,R567,同事
R566,R565,同事
R566,R568,同事
R566,R564,同事
R566,R564,队友
R566,R561,队友
R566,R567,队友
R566,R560,队友
R566,R562,队友
R566,R556,队友
R566,R565,队友
R566,R549,队友
R566,R568,队友
R566,R563,队友
R566,R550,所属救援队
R566,R575,现任机构
R567,R578,履历
R567,character_sR115,性别
R567,R565,同事
R567,R568,同事
R567,R566,同事
R567,R564,同事
R567,R556,队友
R567,R565,队友
R567,R564,队友
R567,R561,队友
R567,R549,队友
R567,R568,队友
R567,R560,队友
R567,R562,队友
R567,R566,队友
R567,R563,队友
R567,R550,所属救援队
R567,R575,现任机构
R568,R579,履历
R568,character_sR116,性别
R568,R567,同事
R568,R565,同事
R568,R564,同事
R568,R566,同事
R568,R564,队友
R568,R561,队友
R568,R566,队友
R568,R560,队友
R568,R562,队友
R568,R567,队友
R568,R556,队友
R568,R565,队友
R568,R549,队友
R568,R563,队友
R568,R550,所属救援队
R568,R575,现任机构
R586,R591,履历
R586,character_sR117,性别
R586,R587,同事
R586,R588,队友
R586,R587,队友
R586,R589,队友
R586,R590,所属救援队
R586,R592,现任机构
R587,R593,履历
R587,character_sR118,性别
R587,R586,同事
R587,R589,队友
R587,R588,队友
R587,R590,所属救援队
R587,R592,现任机构
R588,R595,履历
R588,character_sR119,性别
R588,R589,队友
R588,R587,队友
R588,R586,队友
R588,R590,所属救援队
R588,R596,现任机构
R589,R597,履历
R589,character_sR120,性别
R589,R588,队友
R589,R587,队友
R589,R586,队友
R589,R590,所属救援队
R589,R598,现任机构
R590,R547,支援地点
R590,character_dR61,出发日期
R599,R604,履历
R599,character_sR121,性别
R599,R601,队友
R599,R600,队友
R599,R602,所属救援队
R599,R605,现任机构
R600,R607,履历
R600,character_sR122,性别
R600,R601,同事
R600,R599,队友
R600,R601,队友
R600,R602,所属救援队
R600,R608,现任机构
R601,R609,履历
R601,character_sR123,性别
R601,R600,同事
R601,R599,队友
R601,R600,队友
R601,R602,所属救援队
R601,R608,现任机构
R602,R603,支援地点
R602,character_dR62,出发日期
R610,character_sR124,性别
R610,R612,所属救援队
R610,R611,现任机构
R612,R547,支援地点
R612,character_dR63,出发日期
R613,R626,履历
R613,character_sR125,性别
R613,R628,所属救援队
R613,R627,现任机构
R614,character_sR126,性别
R614,R630,所属救援队
R614,R629,现任机构
R615,R632,履历
R615,character_sR127,性别
R615,R633,现任机构
R616,R635,履历
R616,character_sR128,性别
R616,R637,所属救援队
R616,R636,现任机构
R617,R635,履历
R617,character_sR129,性别
R617,R638,所属救援队
R617,R636,现任机构
R618,R639,履历
R618,character_sR130,性别
R618,R641,所属救援队
R618,R640,现任机构
R619,R642,履历
R619,character_sR131,性别
R619,R644,所属救援队
R619,R643,现任机构
R620,R645,履历
R620,R647,所属救援队
R620,R646,现任机构
R621,R648,履历
R621,character_sR132,性别
R621,R650,所属救援队
R621,R649,现任机构
R622,character_sR133,性别
R622,R652,所属救援队
R623,R654,履历
R623,character_sR134,性别
R623,R655,所属救援队
R623,R653,现任机构
R624,R656,履历
R624,character_sR135,性别
R624,R657,所属救援队
R624,R570,现任机构
R625,R658,履历
R625,character_sR136,性别
R625,R660,所属救援队
R625,R659,现任机构
R628,R547,支援地点
R628,character_dR64,出发日期
R630,R631,支援地点
R630,character_dR65,出发日期
R637,character_dR66,出发日期
R638,character_dR67,出发日期
R641,R547,支援地点
R641,character_dR68,出发日期
R644,R547,支援地点
R644,character_dR69,出发日期
R647,R547,支援地点
R647,character_dR70,出发日期
R650,R651,支援地点
R650,character_dR71,出发日期
R652,R547,支援地点
R652,character_dR72,出发日期
R655,character_dR73,出发日期
R657,character_dR74,出发日期
R66,R80,所在城市
R660,R547,支援地点
R660,character_dR75,出发日期
R664,R667,履历
R664,character_sR137,性别
R664,R666,同事
R664,R665,同事
R664,R22,队友
R664,R665,队友
R664,R666,队友
R664,R671,所属救援队
R664,R668,现任机构
R665,R669,履历
R665,character_sR138,性别
R665,R666,同事
R665,R664,同事
R665,R666,队友
R665,R664,队友
R665,R22,队友
R665,R671,所属救援队
R665,R668,现任机构
R666,R670,履历
R666,character_sR139,性别
R666,R664,同事
R666,R665,同事
R666,R664,队友
R666,R22,队友
R666,R665,队友
R666,R671,所属救援队
R67,R80,所在城市
R671,R662,支援地点
R671,character_dR76,出发日期
R672,R547,支援地点
R672,character_dR77,出发日期
R673,R689,履历
R673,character_sR140,性别
R673,R675,同事
R673,R676,同事
R673,R677,同事
R673,R674,同事
R673,R672,所属救援队
R673,R690,现任机构
R674,R691,履历
R674,character_sR141,性别
R674,R677,同事
R674,R675,同事
R674,R673,同事
R674,R676,同事
R674,R672,所属救援队
R674,R690,现任机构
R675,R692,履历
R675,character_sR142,性别
R675,R673,同事
R675,R674,同事
R675,R677,同事
R675,R676,同事
R675,R672,所属救援队
R675,R690,现任机构
R676,R693,履历
R676,character_sR143,性别
